from,to,cause,why,variable,cohort,before,after
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,CARDIA,4/4636,1/668
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,CHS,5/15188,2/11022
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,FHS,-,7/36423
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,MESA,-,24/288902
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ethnicity,WHI,2/30201,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,ARIC,18/1574716,5/13750
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,CARDIA,12/40644,26/66865
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,CHS,2/5062,3/11228
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,COPDGene,-,1/271
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,FHS,-,16/330748
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,HCHS/SOL,-,1/12007
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,JHS,-,6/25716
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,MESA,2/8534,3/4157
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 - Forced Expiratory Volume in 1 sec,WHI,3/1018181,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 FVC,COPDGene,-,1/269
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FEV1 FVC,MESA,2/10923,3/475
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,ARIC,29/307974,11/74391
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,CARDIA,11/37429,24/61017
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,CHS,4/14783,3/11227
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,COPDGene,-,1/261
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,FHS,-,17/344443
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,HCHS/SOL,1/12510,1/12007
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,JHS,12/32995,6/33082
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,MESA,16/60439,3/4142
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,FVC - Forced Vital Capacity,WHI,3/46672,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,ARIC,2/118865,3/104673
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,CARDIA,2/2989,4/4636
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,CHS,1/4817,5/15188
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,FHS,-,4/84304
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,MESA,3/13716,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VII,WHI,-,2/30201
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,ARIC,9/214709,2/118865
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,CARDIA,12/158728,2/2989
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,CHS,-,1/4817
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,FHS,-,3/52635
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,JHS,9/82884,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Factor VIII,MESA,3/70631,3/13716
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,ARIC,2/250531,9/214709
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,CARDIA,4/131250,12/158728
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,CHS,3/94710,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,FHS,-,2/24124
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,JHS,9/98195,9/82884
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,MESA,8/244130,3/70631
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family history of stroke,WHI,3/2509237,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,ARIC,9/66457,2/250531
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,CARDIA,2/6434,4/131250
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,CHS,1/3138,3/94710
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,FHS,-,4/89132
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,HCHS/SOL,1/12510,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,JHS,3/8062,9/98195
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,MESA,13/37371,8/244130
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Family income,WHI,-,3/2509237
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,ARIC,2/57908,9/66457
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,CARDIA,2/10838,2/6434
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,CHS,1/4639,1/3138
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,FHS,-,14/390940
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,HCHS/SOL,1/11759,1/12510
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,JHS,-,3/8062
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting blood glucose,MESA,3/8262,13/37371
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,ARIC,-,2/57908
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,CARDIA,-,2/10838
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,CHS,-,1/4639
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,FHS,-,14/297895
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,HCHS/SOL,1/12300,1/11759
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,JHS,1/3811,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fasting lipids,MESA,-,3/8262
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,ARIC,2/15778,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,CARDIA,5/10916,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,CHS,4/14677,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,FHS,-,2/32164
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,HCHS/SOL,-,1/12300
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,JHS,-,1/3811
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,MESA,4/8936,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Ferritin,WHI,1/15167,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,ARIC,1/57908,2/15778
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,CARDIA,1/14488,5/10916
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,CHS,-,4/14677
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,FHS,-,9/188397
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,MESA,-,4/8936
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fibrinogen,WHI,-,1/15167
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,ARIC,14/144526,18/1574716
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,CARDIA,4/13512,12/40644
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,CHS,4/14708,2/5062
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,FHS,-,122/2740115
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,JHS,4/10187,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,MESA,1/184,2/8534
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Fruits,WHI,1/15759,3/1018181
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,GFR,ARIC,1/52146,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,GFR,MESA,-,2/10923
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,ARIC,43/352157,14/144526
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,CARDIA,25/60109,4/13512
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,CHS,76/207281,4/14708
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,FHS,-,83/2015794
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,HCHS/SOL,2/24802,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,JHS,11/113548,4/10187
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,MESA,41/125877,1/184
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Glucose in blood,WHI,2/172893,1/15759
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,ARIC,20/177109,29/307974
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,CARDIA,14/36658,11/37429
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,CHS,9/39071,4/14783
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,FHS,-,51/1099714
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,HCHS/SOL,1/12504,1/12510
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,JHS,10/43301,12/32995
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,MESA,13/34249,16/60439
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,HDL,WHI,3/621786,3/46672
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,ARIC,10/146690,43/352157
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,CARDIA,2/7204,25/60109
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,CHS,4/20115,76/207281
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,COPDGene,-,1/272
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,FHS,-,51/1359812
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,HCHS/SOL,1/12420,2/24802
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,JHS,1/3746,11/113548
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,MESA,1/900,41/125877
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Heart rate,WHI,2/213421,2/172893
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,ARIC,10/89898,20/177109
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,CARDIA,2/7204,14/36658
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,CHS,4/14668,9/39071
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,COPDGene,-,1/272
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,FHS,-,84/1893232
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,HCHS/SOL,1/12420,1/12504
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,JHS,1/3746,10/43301
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,MESA,2/3655,13/34249
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Height,WHI,2/213462,3/621786
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,ARIC,4/8921,10/146690
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,CARDIA,-,2/7204
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,CHS,-,4/20115
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,FHS,-,22/606133
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,HCHS/SOL,1/12467,1/12420
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,JHS,10/26755,1/3746
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,MESA,3/10326,1/900
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hematocrit,WHI,-,2/213421
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,ARIC,5/54810,10/89898
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,CARDIA,10/33281,2/7204
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,CHS,4/14989,4/14668
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,FHS,-,9/327679
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,HCHS/SOL,1/12485,1/12420
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,JHS,4/11748,1/3746
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,MESA,7/28176,2/3655
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin,WHI,1/379632,2/213462
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,ARIC,30/631205,4/8921
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,CARDIA,5/8826,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,CHS,4/33470,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,FHS,-,4/104335
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,HCHS/SOL,-,1/12467
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,JHS,4/52210,10/26755
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,MESA,6/70198,3/10326
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hemoglobin A1c,WHI,8/363960,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,ARIC,9/176553,5/54810
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,CARDIA,-,10/33281
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,CHS,5/36495,4/14989
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,FHS,-,27/577172
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,HCHS/SOL,-,1/12485
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,JHS,11/24803,4/11748
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,MESA,-,7/28176
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,Hip circumference,WHI,3/850918,1/379632
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,ARIC,13/192105,30/631205
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,CARDIA,2/0,5/8826
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,CHS,4/32958,4/33470
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,FHS,-,3/91014
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,JHS,9/21436,4/52210
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,MESA,5/28158,6/70198
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of cardiovascular disease,WHI,3/570946,8/363960
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,ARIC,26/447008,9/176553
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,CARDIA,14/9748,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,CHS,2/10800,5/36495
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,FHS,-,12/63198
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,JHS,-,11/24803
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,MESA,6/264105,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary angioplasty,WHI,1/13602,3/850918
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,ARIC,21/400625,13/192105
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,CARDIA,2/1306,2/0
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,CHS,11/89443,4/32958
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,FHS,-,11/50156
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,HCHS/SOL,1/24998,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,JHS,7/118653,9/21436
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,MESA,1/4725,5/28158
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of coronary artery bypass graft,WHI,13/1771615,3/570946
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,ARIC,65/2968463,26/447008
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,CARDIA,11/4836,14/9748
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,CHS,12/102144,2/10800
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,FHS,-,77/798690
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,HCHS/SOL,2/49844,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,JHS,12/275032,-
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,MESA,7/218026,6/264105
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart disease,WHI,3/586304,1/13602
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,ARIC,24/638759,21/400625
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,CARDIA,23/93630,2/1306
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,CHS,26/220607,11/89443
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,FHS,-,31/142887
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,HCHS/SOL,-,1/24998
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,JHS,11/154995,7/118653
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,MESA,13/289242,1/4725
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of heart failure,WHI,4/717346,13/1771615
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,ARIC,42/1306554,65/2968463
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,CARDIA,29/149032,11/4836
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,CHS,22/165194,12/102144
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,COPDGene,-,1/544
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,FHS,-,94/793096
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,HCHS/SOL,2/40160,2/49844
2025-08-27,2025-08-28,code 903f6d41,'Got it working with the two other sheets': COPDGene + FHS added,History of myocardial infarction,JHS,19/249062,12/275032
